ID,poblacion,temporada,seccion,sexo
41AFI,4150 msnm,Reproductiva,Ileon,Hembra
41DFI,4150 msnm,Reproductiva,Ileon,Hembra
41FFI,4150 msnm,Reproductiva,Ileon,Hembra
41FI,4150 msnm,Reproductiva,Ileon,Hembra
41JFI,4150 msnm,Reproductiva,Ileon,Hembra
41FP16I,4150 msnm,Reproductiva,Ileon,Hembra
41FP17I,4150 msnm,Reproductiva,Ileon,Hembra
41FP18I,4150 msnm,Reproductiva,Ileon,Hembra
41FP19I,4150 msnm,Reproductiva,Ileon,Hembra
41FP20I,4150 msnm,Reproductiva,Ileon,Hembra
41FV1I,4150 msnm,No Reproductiva,Ileon,Hembra
41FV2I,4150 msnm,No Reproductiva,Ileon,Hembra
41FV3I,4150 msnm,No Reproductiva,Ileon,Hembra
41FV4I,4150 msnm,No Reproductiva,Ileon,Hembra
41FV5I,4150 msnm,No Reproductiva,Ileon,Hembra
H31I,4150 msnm,No Reproductiva,Ileon,Hembra
H32I,4150 msnm,No Reproductiva,Ileon,Hembra
H33I,4150 msnm,No Reproductiva,Ileon,Hembra
H34I,4150 msnm,No Reproductiva,Ileon,Hembra
H35I,4150 msnm,No Reproductiva,Ileon,Hembra