OTUID,261MI,262MI,263MI,264MI,265MI,26AFI,26BFI,26CFI,26DFI,26EFI,4110MI,41AFI,41DFI,41EMI,41FFI,41FI,41GMI,41IMI,41JFI,41JMI,26FV1I,26FV2I,26FV3I,26FV4I,26FV5I,26MVAI,26MVBI,26MVCI,26MVDI,26MVEI,41FV1I,41FV2I,41FV3I,41FV4I,41FV5I,41MVAI,41MVBI,41MVCI,41MVDI,41MVEI,26FP12I,26FP16I,26FP3I,26FP7I,26FP8I,26H2I,26H3I,26H4I,26H7I,26H8I,26M10I,26M14I,26M19I,26M2I,26M2ScI,26M4ScI,26M5I,26M6I,26M6ScI,26M9I,41FP16I,41FP17I,41FP18I,41FP19I,41FP20I,41M11I,41M12I,41M13I,41M14I,41M15I,H31I,H32I,H33I,H34I,H35I,M1I,M2I,M3I,M4I,M5I,261MR,262MR,263MR,264MR,265MR,26AFR,26BFR,26CFR,26DFR,26EFR,4110MR,41AFR,41DFR,41EMR,41FFR,41FR,41GMR,41IMR,41JFR,41JMR,26FV1R,26FV2R,26FV3R,26FV4R,26FV5R,26MVAR,26MVBR,26MVDR,26MVER,41FV1R,41FV2R,41FV3R,41FV4R,41FV5R,41MVAR,41MVBR,41MVCR,41MVDR,41MVER,26FP12R,26FP16R,26FP3R,26FP7R,26FP8R,26H2R,26H3R,26H4R,26H7R,26H8R,26M14R,26M19R,26M2R,26M2ScR,26M4ScR,26M5R,26M6R,26M6ScR,26M9R,41FP16R,41FP17R,41FP18R,41FP19R,41FP20R,41M11R,41M12R,41M13R,41M14R,41M15R,H31R,H32R,H33R,H34R,H35R,M1R,M2R,M3R,M4R,M5R,abun,dominio,phylum,clase,orden,familia,genero,especie,Confidence,taxa
501ef6cc75fb160180e332ba60a60df8,0.515008829,0.75385904,0.435052828,0,1.623316731,0.880360057,52.79943303,12.65915055,61.5222159,0.653798257,53.92302785,17.98185807,0.381679389,3.092871102,12.01938009,21.41613465,60.86115143,25.89143487,16.55710136,5.992829093,0,0,0,0,0,0.014806041,0,0,0,0,0.560448359,19.88304094,0.405327157,0.12642225,0.166910077,0.478902407,0.130195293,1.168014376,0.272130623,0.12539185,0.041528239,0,0,0,0,4.322047121,2.504743833,3.789042499,1.138088012,4.780982906,0.427350427,0,0,1.632956022,0,0,0.970017637,0,0,0,0.289397527,0,0,12.38286047,1.600688468,4.896907216,62.8042328,0.977301387,0.124204316,0.556438792,0.019069009,0,0.072896924,0,0,6.14213198,0,0.239139099,0.426742532,0,0.035464137,1.910447761,84.15117816,0.024437928,4.006163328,0.32508127,83.78576669,50.35877365,94.35354204,0.559006211,26.6087933,30.20002073,0.641503804,0.356462718,44.18356457,27.62918832,29.84251577,28.523126,28.44973666,45.47228728,0,0.375161708,0,0,0,0,0,0,0,0.014952153,2.218649518,2.82404055,0.825222175,1.704891716,0.801670146,0.335612181,30.00715504,3.343239227,3.538457299,0.147919877,0,0,0,0.897681715,0.225586227,0.161264312,0.175853759,0,0.141200049,0,0,0,0,0,0.446251844,0.045013504,0,0.00592304,4.583723106,0.026463988,0.094457974,3.751893771,0.23882387,9.161639139,50.08448324,0.067104086,0.054158607,4.525386313,0.168542708,0.184595505,0.0366183,0,0,0,0,0.382923674,0.161653078,0.005085177,7.51019227,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Hafniaceae, g__Hafnia-Obesumbacterium, s__Hafnia_paralvei,0.719542206,Hafnia paralvei
a16986411ff8c5714b2ba245262b5f95,0.14714538,0.813689123,7.799875699,6.29623541,4.334993544,0.039566744,1.287502953,32.4812907,7.895378117,4.304171856,0.978099086,2.733147566,5.104026343,5.098139179,2.515684204,4.28516154,0.951459442,0.588163215,2.568414616,4.302543964,1.71990172,0.408361692,0.753730195,3.308010386,3.408924653,0,0,0.774193548,3.693931398,0,0.64051241,0,1.389693109,1.485461441,23.8890048,20.79989645,1.392088132,1.437556155,1.21658396,0.647857889,11.93936877,0,0,7.491856678,4.146100691,0,0.759013283,2.508960573,7.572078907,0.400641026,1.068376068,0,3.162055336,2.570050102,2.564102564,3.185509057,6.525573192,22.22222222,0,15.76394503,7.445409103,3.105590062,0,4.166828238,3.820998279,0.368188513,0.105820106,0.157629256,0.388138488,0,0.080513592,6.504462648,7.085580988,20.16315222,6.796945645,1.421319797,2.044609665,13.07958018,18.83357041,5,1.640216331,1.412935323,0.015553309,0.146627566,0.61633282,4.651162791,0.929322573,0.27956388,0.704624988,8.021295475,1.727563272,1.088195668,0.052215426,9.018995068,0.731056564,2.345037394,1.460579264,0.248803828,5.440806045,1.6653656,2.765567766,3.389391979,4.468051867,25.45410706,8.871875704,1.122385587,0.385916432,0.471453607,2.087608172,4.126794258,22.05787781,21.94062274,21.22302158,15.02147837,20.29227557,11.73399627,12.5598547,13.1872214,10.95433626,9.016949153,8.996960486,7.773017717,5.963413651,4.728080879,5.975066785,6.058162662,1.385119733,4.198315963,0.238369974,1.706649493,2.008295132,9.830895975,4.996326231,24.77404307,6.686580055,1.66549965,9.05843692,21.03074058,5.893358279,4.136850574,19.59707771,10.10732428,2.950663744,6.300069232,0.028161081,4.712198032,2.429400387,17.07137601,1.294167218,6.996169643,7.433514899,10.8245174,9.551809748,9.30956913,10.05818339,7.047865459,10.35282541,8.883803712,5.628598146,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999898,Lachnospiraceae
5b417a0a0068c9b6e23752143b558bc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124584718,0,0,0.325732899,43.33662389,0,0,0,0,0,0,94.12955466,73.12252964,0,72.00854701,71.08057464,0,0,93.20987654,0,0,0,0,0.003446864,0.005737235,82.4742268,23.06878307,72.65132409,17.01599131,85.69157393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007261109,0,0,0,0,0,0,0,0.67621961,1.659026413,0,0.610410897,0.995460036,0,0,3.029004143,0,0,0,0.002951812,0,0,0.128572841,0.112644326,0.067104086,0.069632495,0.110375276,0,0,0,0,0,0,0,0,0,0,4.656441584,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,NA,0.999994102,Pseudomonas
7e537c12b9af4d0e06d9c229f25d2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167076167,0.048614487,0,0,0.095098756,2.605863192,3.378378378,2.709677419,0.263852243,0,0,0,0,0,0.041727519,0,0,0,0,0,1.204318937,0,0,0,0,88.204088,75.86337761,76.80491551,44.79514416,81.12980769,8.760683761,0,0,17.87437372,0,0.562148657,12.96296296,5.555555556,0,3.637833468,0.342015259,9.316770186,7.804878049,0.282642883,3.21858864,0.368188513,0,0.110340479,0.077627698,1.192368839,8.998453292,51.41215307,2.259804636,11.64383562,0.557620818,57.91878173,17.84386617,2.96266773,11.57183499,18.94736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053841375,0.061937205,0.076518648,0.156124543,0,0,0,0,0,0,0,0,0,0.005511616,0,0,0,0,0,0.317601662,1.064344461,0.147630316,0.285579697,1.747540386,0,0,0.09460365,0,0.004165105,0.118760571,0.22006602,0,0.090819946,2.151543499,0.020112631,0.007379529,0.021643093,0.007237087,0,0,0,0,0,2.010473725,0.27227837,0.434842312,0.578034682,0.392003136,0.109592202,0.21010667,0.212160414,0.267078999,0.594965675,4.090062041,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Delftia,NA,0.999621361,Delftia
32e7dd57efc183a5b7e69af26d8641b9,0,1.017111404,0,0.164392569,0,85.39492557,0,1.715424239,0.308667046,2.311643836,2.168828407,1.820122132,1.66142793,1.006882488,3.490900056,4.478622558,2.547976133,0.75971082,0.851042144,2.595185248,2.288083538,3.928050559,4.076295954,1.538609482,1.938551573,58.2987859,49.72972973,21.24731183,9.498680739,8.591885442,7.926341073,4.093567251,0,5.088495575,7.594408512,2.98990422,10.69604407,12.39892183,7.459580599,18.26959248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212784821,0.099502488,0.15553309,94.77028348,2.157164869,0.32508127,0.635852287,20.98592862,0.813392604,0.310559006,0.341193746,0.849828998,66.22407877,2.72962547,1.990394877,0.71407445,2.031894282,1.696969697,1.831921227,4.462659381,0,0.090556274,0.031245118,0.040186465,1.25347144,0.766204183,0.624136452,0.881198628,2.395396556,1.121411483,0,0.724112962,0.465509945,0.047564547,0.11691023,0.795525171,0.247674611,2.005943536,0.424394411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.577948534,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Yersiniaceae, g__Serratia,NA,0.998740476,Serratia
929805da29bce3a9838d81700d0a5770,0.117716304,0.119660165,7.675574891,0.838402104,4.021398266,0.04945843,3.6735176,2.356885995,3.97205751,1.883561644,1.084414204,4.701488113,2.76904655,3.730138499,4.733213243,6.645385955,0.564425093,2.021811053,1.921214901,6.385521598,0.076781327,0.145843461,0.076911244,0.605827483,0.095098756,0.037015102,0,0.64516129,1.055408971,2.386634845,0.080064051,0,0.694846555,0.442477876,1.272689339,15.92026922,0.340510766,0.359389039,0.160076837,0.351097179,4.734219269,0,0,8.794788274,3.553800592,0.031206116,0.569259962,1.792114695,1.699544765,0.186965812,1.923076923,0.20242915,1.581027668,0.097420672,2.35042735,1.499063086,1.14638448,0,0,2.5869038,1.052354644,3.105590062,0,0.408022577,1.044176707,0.073637703,0.158730159,0,0.155255395,0.158982512,0.983113333,0.097811468,8.674733926,8.546252116,6.822063699,1.878172589,4.646840149,13.45821709,11.21621622,5.526315789,0.96639773,0.15920398,0.023329963,0,0,8.864716179,0.281242358,0.037275184,0.089851509,1.481810115,1.35181826,2.912218883,0.089512159,3.017725475,1.355389541,2.514049098,2.081573849,0.555023923,1.163269979,2.224824356,0.21978022,0.763260026,6.483361975,3.038096769,0.510395557,0.534272106,2.901519844,0.839236788,0.276563476,4.66507177,12.2829582,1.013758146,6.263224714,9.142797687,5.995824635,6.500932256,1.040233365,1.523031204,1.904263235,7.001540832,12.24924012,6.959773453,6.346200338,10.42356632,5.776194717,2.031930334,0.905321204,2.84107637,0.059212924,7.792625986,3.034271993,1.93149119,11.72780196,2.494897747,0.780940728,1.455436631,2.628946992,4.815431493,5.332086062,9.763094381,14.30447937,4.065082053,5.63562301,8.502291234,0.021120811,0.193856248,0.735009671,1.508462104,17.85348823,17.85038534,10.44079279,14.65263388,7.813929178,10.86116398,5.651330676,20.98318241,9.284509418,5.308924485,3.429438452,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Hungatella, s__uncultured_bacterium,0.797543792,Hungatella
eb7b29a2f748c61f1a0d50fc684ddf5d,0.117716304,0.131626182,8.359229335,0,16.343848,0,0,0,0,0,0.085052094,2.525641786,13.00703488,4.0402753,1.875892913,5.861868833,0.12901145,0,3.949447077,0,0,0,0.230733733,0.115395711,0.109729334,0,0,0,0,0,0.080064051,0,10.30689056,0,0.083455039,0.142376391,0.130195293,0.628930818,0,0.045977011,2.10755814,0,0,3.908794788,2.566633761,0.031206116,0.113851992,0.153609831,0.04552352,0.320512821,0,0,2.371541502,0.185563184,2.564102564,0,0.264550265,3.703703704,0,1.778496362,0,0.621118012,0,50.99420496,1.514629948,0.405007364,1.005291005,0.094577554,0.512342804,0.238473768,0.019069009,0.012226434,8.179034845,0.050023088,3.963629057,0,2.044609665,0.006642753,1.052631579,1.842105263,0.124124479,0,0.038883272,0,0.770416025,0,0,0,0,0,0.082059255,2.746398591,0.074593466,0.439474584,0.704375667,1.605611189,0.342789011,0,2.839477902,0,0.073260073,0.025873221,0,0.570647806,1.043308564,0,0,0.022215091,1.195467928,0,4.083601286,2.606806662,0,0.065401252,0.075156576,10.04350528,1.816280478,0,0.372034062,12.05546995,0.015197568,1.920563462,8.99347248,0.034861426,7.379044227,0.016126431,0.049933783,4.457398575,0.280881817,0.193205603,1.702685003,21.44743585,0.033911716,0,2.573145716,0.040012004,42.09172739,0.01776912,10.00935454,0.423423805,0.417681352,47.05208347,0.203672305,19.96505456,0.112644326,0.00745601,23.89941973,14.31199411,0.397279239,4.471826111,8.797546574,0.136328934,6.030314909,0.028840053,29.5388428,0,9.418048918,0.122044241,2.983418466,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Faecalitalea, s__uncultured_bacterium,0.967869953,Faecalitalea
09c25852892900d095dffc4ed4f0c7b7,4.664508534,0.311116429,11.59105034,0,3.006825309,0.009891686,0,0,0,1.190846824,0.616627684,0.628446078,3.726986978,2.018013425,0.621156594,0.77384407,0.161264312,1.862516848,0.779697294,0.845142564,0.829238329,0.087506077,1.276726657,2.048273872,1.419166057,0,0,0,0.791556728,0.954653938,0,0,4.863925883,0.063211125,1.648237012,21.60238157,1.131697546,1.886792453,1.136545542,0.167189133,1.713039867,0,0,2.931596091,0.394866732,0.062412233,0,1.53609831,1.380880121,0.200320513,1.068376068,0,0,1.948413435,0,0,1.499118166,7.407407407,0,2.748585287,2.841357537,0,0,1.626920011,0.235226621,0,0.052910053,0,0.108678777,0,1.326355489,0,12.68406473,2.732030168,3.300512408,0.862944162,4.089219331,12.73415703,5.576102418,1.315789474,19.25702633,0.059701493,0.093319854,0.15884653,0.30816641,4.301075269,0,0,0.052019294,1.508429459,0.71261985,0.279821743,0,1.772547488,0.320170758,0.245066971,0.233493964,0.421052632,3.476070529,0.52042675,1.126373626,0.103492885,0.890485862,13.9688153,4.420926218,0,0,0.002468343,0.794004818,0,6.784565916,10.49963794,5.649597969,1.128171589,29.51148225,10.50341827,5.465353074,2.748885587,2.416843498,0.838212635,5.478723404,0.250508278,2.195986784,3.067805473,6.227367171,0.010750954,0.073815158,0.809633163,0.173083931,0.692320077,6.144946518,9.385470456,0.881704629,0.012495314,0.521826754,0.165049515,3.171881697,3.470243305,1.028999065,0.143964094,7.202420486,2.189771729,0.094082131,0.121979362,0,0.365344468,0.069632495,0.183958793,9.035092999,4.43490701,7.712729437,1.859526666,5.246308637,2.041875757,5.435836656,5.723156533,2.958954175,5.883549453,2.405890589,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999974,Lachnospiraceae
8b74089f59b28e641f2c8c736707f8b2,0,0,0,0,0,0.227508779,0,0.009719118,0.016245634,0.155666252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063211125,0.062591279,0.181206316,0.230345518,0.449236298,0.032015367,0.551724138,0,0,0,0,0,0,0,0.358422939,0,0,4.05982906,0,3.557312253,66.04193728,2.136752137,4.93441599,20.54673721,7.407407407,0,0.889248181,0,0,0,0,0,0.515463918,1.164021164,20.03467844,74.55364074,1.351351351,0,0.024452867,0,0,0,0,0,0,0.071123755,0,0.221650856,0,0,0.146627566,0,0.137534384,0,0,0.30738674,18.30523514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224619258,0.267642073,0,0,0,0,0,0,0,0,0,0.013779039,0,0,0,0,0,0,0.005375477,0,0,0.0075914,0.20930607,0.545732373,0.137963656,7.924037755,40.71389895,0.46424587,3.020906272,0.385769396,2.515975755,0,0,0,0,0,21.6365015,25.85187271,3.705636743,7.087040619,0.073583517,0,0,0,0,0,0,0,0,0,0,2.174279605,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Enterobacteriaceae, g__Salmonella,NA,0.717139406,Salmonella
4b7cb404fec4c215f8d9180c1c55a1a8,5.208946439,44.11870288,18.98694842,0.139733684,0.073787124,0,0,0,0,0.062266501,2.732298533,1.387324361,0,15.78298921,0.391328654,0.512671697,0.903080148,0.061267002,0.010192121,1.408570941,0,0,0,0,0.021945867,0,0,0.946236559,0,0,0,0,0.231615518,0.12642225,0.834550386,0.427129174,0.150225338,0.449236298,0.080038418,0.054336468,0.384136213,0,0,4.885993485,0.888450148,0,0.45540797,0,0.075872534,0.080128205,0,0,0,0.00463908,0,0,0,0,0,0.404203719,12.20731386,1.863354037,0,0.008186303,0.378657487,0.147275405,0.846560847,0,0,2.066772655,0,0,0.947660009,0.238571648,0.05023611,0.253807107,2.788104089,2.119038129,0.071123755,3.421052632,2.659810267,30.54726368,0.108873163,0.073313783,0,5.176294074,0,0,0.028374161,0,4.629869569,2.300756555,0,3.496264466,0.1547492,0.240841678,2.136221372,0.20414673,0,1.0408535,0,0,0.249960944,2.137919949,0.142610523,0,0,0,0.022303506,0,9.324758842,0.217233888,5.628438426,4.4294484,2.329853862,9.136109385,0.46782982,0,0.912172403,0.640986133,0,2.682979959,13.32097671,0,0.00890472,0.021501908,1.504526606,12.41830065,1.038503583,8.597649332,4.442261515,0,0,0.012495314,1.374743585,0,0,0,2.338634238,4.707414151,4.593018965,0.011458108,0.014474174,1.061550127,0.119684596,0.305696391,0.007736944,3.936718175,0.036116294,4.536434538,0.645397537,4.90784164,0.019600157,13.12799216,0.005387351,10.40620957,0.224908631,3.717264175,2.014379934,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Breznakia, s__uncultured_bacterium,0.993744414,Breznakia
31de3d22f5b19325735267725f1f49e8,0.367863449,0.382912528,2.237414543,0.049317771,0.682530898,0.044512587,1.299314907,0.058314705,0.869141418,0.75498132,0.403997448,0.681804707,2.005687771,3.143852494,1.59016088,3.73379764,0.306402193,0.269574807,1.854966111,1.62199078,0.122850123,0.097228974,0.876788186,0.403884989,0.775420629,0,0,1.419354839,0,0,0.240192154,0,3.532136653,0.316055626,1.877738368,5.022003624,0.180270406,0.179694519,0.352169041,0.225705329,1.692275748,0,6.666666667,1.954397394,1.283316881,0.031206116,0,0.665642601,0.971168437,0.120192308,0.641025641,0,0,0.111337911,0,0,0.617283951,0,0,2.101859337,1.578531965,0,0,1.211141989,0.344234079,0,0,0.094577554,0.077627698,0.079491256,0.646227514,0.073358601,9.039218545,7.453440049,4.837737366,1.319796954,2.973977695,7.772020725,6.408250356,1.842105263,5.842716553,0.517412935,0.038883272,0.048875855,0,6.051512878,1.051601859,0,0.070935401,1.446317657,0.686706401,0.880920303,0.007459347,1.020557644,0.405549626,1.335192462,0.332853098,0.082934609,3.320357225,0.663544106,0.045787546,0.375161708,0,3.343513905,2.972303535,0,0,0.019746748,0.142742439,1.315789474,6.398713826,5.648081101,4.951333051,3.574772954,5.561586639,1.951522685,3.940778249,2.9346211,7.388320886,3.907550077,0.083586626,2.279988382,2.232250786,0.082795886,2.724844167,0.021501908,0.245326849,1.065771654,0.154864569,3.059088714,0.545732373,0.859316489,0,0,3.987476158,0.040012004,1.014430633,0.998361292,3.274087933,3.69013846,1.157110176,3.227367054,0.38149787,1.997824152,0,3.295556218,0.765957447,1.802796174,4.352013483,4.624117403,7.337391862,4.269822227,4.625637005,3.403126262,2.575153539,5.376455369,5.215068878,11.73150267,1.717485904,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Lachnoclostridium,NA,0.918406919,Lachnoclostridium
8a573680a1bdcad765a979c0819b7fab,0.235432607,0.299150413,0,0.073976656,0.498063088,0,0,0,0,0,0.053157559,0.071144839,0.059871277,0,0.018634698,0.058038305,0,0.159294204,0.040768486,0,3.470515971,0,0.076911244,4.308106549,0.080468178,0,0,0,6.860158311,4.295942721,0,0,0,0.063211125,0,0,0.330495744,0,0.592284296,0.259143156,0,0,0,0,0,0,0.113851992,0,0.015174507,0.093482906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074107585,0.137693632,0,0.211640212,0,0.077627698,0,0.006356336,0,0,0.019239649,0,0.050761421,0,0,0.611664296,0,34.29382037,23.68159204,0,0.109970674,0,0.337584396,0,0,0,0,0,0.196911597,22.75846636,0.15625763,1.371398079,1.871804622,0,1.716108453,0.595374399,0,0.503663004,7.322121604,0,0,2.101628762,0,0.009528801,15.15316071,30.51565706,0,0.289389068,1.955104996,18.30300466,0.309169553,3.440501044,1.342448726,0.820078155,5.534918276,31.27566346,0.129429892,0.030395137,0,0.008058667,0.008715356,0.516473731,0.03762834,0.054275852,0.259082612,7.163245476,0.41861214,0.851342502,1.151011077,0,0.004165105,0,0.0050015,0,0,0.187090739,0.599144684,0.081174821,5.087399901,0.936685828,0.62638051,0.168966488,4.689830003,2.344294004,3.016924209,3.400951062,0.46610365,0.096123037,0,0,0.836361539,0,0,0.477930841,0,1.664142373,d__Bacteria, p__Campilobacterota, c__Campylobacteria, o__Campylobacterales, f__Helicobacteraceae, g__Helicobacter,NA,0.99999997,Helicobacter
47082eb92759c2179725fe69f11672c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.261670762,8.254739912,10.65989848,10.91451101,11.51426481,7.625111045,12.02702703,10.88172043,2.90237467,2.14797136,20.09607686,15.98440546,0,19.40581542,2.524514918,1.656743464,12.0881322,8.625336927,36.7056187,15.3354232,0.290697674,0,0,0,0,0,0.037950664,0,0,0.053418803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031525851,0,0.158982512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293040293,0.491591203,0.15622559,0.409901945,18.49433311,0.13667426,0.209633618,0.266581097,0.432688019,0.67284689,0,0.724112962,0.528988574,0.159043953,0.409185804,0.397762585,0.297209533,1.485884101,0.223220437,0.006163328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025007502,0.014287755,0,0,0.004234238,0,0.006365615,0.00103387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.544493345,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Variovorax,NA,0.979756641,Variovorax
4127ed1a1e8f9dac46c2895299b26505,0.14714538,0.179490248,0.435052828,0,0.498063088,0,0,0.714355137,0.219316059,0,5.879226026,2.786506196,0.142194282,1.278783244,1.819988819,6.25846392,18.46476375,13.73606176,9.458288743,0.887826532,0.153562654,0.145843461,0.769112444,0,0,0,0,0,0,0,0,7.797270955,0.463231036,0,0.083455039,0.349469324,0.090135203,1.347708895,0.208099888,0.066875653,0,0,0,0,0.296150049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.571339322,0.063109581,0,1.058201058,0,0,0,0,0,0,0,0,0,0,0,0.049786629,0,0,0,14.70565363,0,0.770416025,0,0.678650037,8.15394651,1.158611558,0.062111801,3.485358901,3.990050782,0.156646278,0.097661019,6.937033084,8.678751004,8.455462268,11.6108453,18.209297,5.711683581,0.100732601,0.20698577,28.05811592,0,0,0,0,0,0,0,0.803858521,1.520637219,0.105797715,0.289846456,0.283924843,0.298321939,18.08024657,3.751857355,0.019290655,0.073959938,0,0,0,0.130730347,0.011872959,0,0,0,0,0,0,0,0,0,0.413862598,0,0,0,0,0.037049583,0.033945834,0.441773715,0.038253174,0.039560874,0.542100817,0,0,0,0.168542708,0,0.013731862,0,0.05880047,0,0,0.041397154,0.077312342,0,1.429895987,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Hafniaceae, g__Hafnia-Obesumbacterium,NA,0.998599018,Hafnia obesumbacterium
982fe235312fa856fb6b5dc930a8b73e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.66707617,41.04035002,40.82448854,35.03221464,39.99268471,0.111045306,0,0.387096774,0.263852243,0,0,0,0,0,0,0.012943308,0,0.449236298,0.160076837,0.020898642,0.425664452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.391941392,1.927554981,0.546789564,0.715319081,5.34414171,0,0,0,0.004460701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.312138199,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Massilia,NA,0.999986863,Massilia
